time_to_saturation,final_utilization,price_volatility,avg_trade_price,gini_holdings,speculator_holdings,conservative_holdings,num_trades,total_cash,farmer_capital,info_level,run
69,1.0,81.18718725882798,588.375,0.64375,14,2,16,350586,10000,market,5
60,1.0,90.19111652485515,587.75,0.6812499999999999,12,4,16,350596,10000,market,6
49,1.0,84.6255539125151,588.125,0.60625,12,4,16,350590,10000,market,7
53,1.0,87.54463147446565,589.75,0.5687499999999999,12,4,16,350564,10000,market,8
58,1.0,88.42431438806862,599.625,0.6937499999999999,15,1,16,350406,10000,market,9
53,1.0,87.30046445323187,589.5625,0.64375,13,3,16,350567,10000,market,10
57,1.0,93.22888500888553,588.5,0.575,12,4,16,350584,10000,market,11
59,1.0,89.95311278660678,588.25,0.625,13,3,16,350588,10000,market,12
55,1.0,84.4578297140058,586.5,0.5,10,6,16,350616,10000,market,13
48,1.0,89.04975786042318,596.375,0.54375,11,5,16,350458,10000,market,14
45,1.0,89.96976488659955,589.0625,0.66875,14,2,16,350575,10000,market,15
50,1.0,84.57762706531793,586.5,0.6312499999999999,13,3,16,350616,10000,market,16
77,1.0,88.68234657331752,587.9375,0.575,12,4,16,350593,10000,market,17
64,1.0,82.44238044689152,578.5625,0.5,10,6,16,350743,10000,market,18
40,1.0,89.71236589094059,586.9375,0.5,13,3,16,350609,10000,market,19
48,1.0,89.3236522078559,582.3125,0.5687499999999999,13,3,16,350683,10000,market,20
48,1.0,81.06630677260436,591.5625,0.5,11,5,16,350535,10000,market,21
60,1.0,87.83344945833564,585.6875,0.51875,11,5,16,350629,10000,market,22
60,1.0,89.97931619961334,587.1875,0.58125,12,4,16,350605,10000,market,23
48,1.0,87.45847228828092,588.125,0.51875,10,6,16,350590,10000,market,24
56,1.0,84.40062110997762,587.6875,0.6312499999999999,11,5,16,350597,10000,market,25
53,1.0,90.27594415872925,593.5625,0.59375,12,4,16,350503,10000,market,26
60,1.0,83.75102611311696,587.125,0.625,11,5,16,350606,10000,market,27
69,1.0,83.15572740346873,597.0,0.51875,12,4,16,350448,10000,market,28
46,1.0,87.84565655170437,583.125,0.44374999999999987,11,5,16,350670,10000,market,29
69,1.0,84.59822323784347,591.625,0.7375,13,3,16,350534,10000,market,30
49,1.0,88.82672739665692,589.75,0.65625,12,4,16,350564,10000,market,31
70,1.0,90.0950886563746,588.0,0.5,9,7,16,350592,10000,market,32
46,1.0,78.20645753388911,587.5,0.65625,13,3,16,350600,10000,market,33
54,1.0,80.60995499161379,590.3125,0.5687499999999999,11,5,16,350555,10000,market,34
64,1.0,81.85009163098108,585.75,0.6875,11,5,16,350628,10000,market,35
68,1.0,87.87553342654599,589.875,0.5687499999999999,12,4,16,350562,10000,market,36
47,1.0,78.52664257275998,584.9375,0.5687499999999999,12,4,16,350641,10000,market,37
52,1.0,89.00542030545105,586.6875,0.51875,12,4,16,350613,10000,market,38
54,1.0,89.73990193888112,593.0,0.53125,11,5,16,350512,10000,market,39
84,1.0,85.90726740939907,595.0625,0.60625,9,7,16,350479,10000,market,40
46,1.0,79.99802243649526,588.0625,0.5,13,3,16,350591,10000,market,41
43,1.0,90.52414646794523,589.4375,0.73125,15,1,16,350569,10000,market,42
65,1.0,94.74668117538471,592.0625,0.6624999999999999,12,4,16,350527,10000,market,43
59,1.0,90.81882290445081,599.9375,0.60625,14,2,16,350401,10000,market,44
72,1.0,95.0527608423343,595.1875,0.70625,12,4,16,350477,10000,market,45
50,1.0,83.1699126788047,586.125,0.54375,12,4,16,350622,10000,market,46
65,1.0,89.29408487548321,588.9375,0.51875,10,6,16,350577,10000,market,47
61,1.0,90.19137638932006,596.125,0.51875,10,6,16,350462,10000,market,48
51,1.0,85.37335283916171,585.875,0.54375,13,3,16,350626,10000,market,49
54,1.0,85.61685636456177,593.4375,0.6624999999999999,9,7,16,350505,10000,full,0
49,1.0,90.36237809509,589.875,0.6812499999999999,13,3,16,350562,10000,full,1
81,1.0,83.7159445685229,598.875,0.54375,11,5,16,350418,10000,full,2
43,1.0,92.15238738090294,595.25,0.51875,12,4,16,350476,10000,full,3
51,1.0,89.30276801421107,585.125,0.6312499999999999,12,4,16,350638,10000,full,4
55,1.0,90.56756800864203,592.375,0.6312499999999999,11,5,16,350522,10000,full,5
53,1.0,87.92788238096037,592.75,0.5687499999999999,9,7,16,350516,10000,full,6
69,1.0,86.43856199636826,592.0,0.44374999999999987,9,7,16,350528,10000,full,7
84,1.0,88.52321376339654,581.625,0.45625000000000004,8,8,16,350694,10000,full,8
47,1.0,85.40857685267915,597.0,0.625,8,8,16,350448,10000,full,9
47,1.0,89.48568321245584,587.25,0.7562499999999999,13,3,16,350604,10000,full,10
49,1.0,82.03769617529493,582.9375,0.45625000000000004,11,5,16,350673,10000,full,11
47,1.0,90.34895458028278,581.0625,0.6312499999999999,12,4,16,350703,10000,full,12
66,1.0,91.96991270926596,590.6875,0.44374999999999987,9,7,16,350549,10000,full,13
48,1.0,77.36033281824736,598.4375,0.54375,12,4,16,350425,10000,full,14
55,1.0,89.83733129245326,590.5625,0.53125,13,3,16,350551,10000,full,15
65,1.0,94.65147829669645,589.1875,0.6937499999999999,15,1,16,350573,10000,full,16
51,1.0,88.47730994441456,591.125,0.58125,13,3,16,350542,10000,full,17
69,1.0,87.36433679568569,594.8125,0.6312499999999999,11,5,16,350483,10000,full,18
61,1.0,92.25,588.75,0.5687499999999999,11,5,16,350580,10000,full,19
60,1.0,95.80642511726445,591.5625,0.5874999999999999,11,5,16,350535,10000,full,20
46,1.0,80.37701688760289,590.6875,0.5,10,6,16,350549,10000,full,21
45,1.0,80.55934827039007,587.0625,0.5687499999999999,11,5,16,350607,10000,full,22
59,1.0,98.07841250754419,587.0,0.45625000000000004,10,6,16,350608,10000,full,23
61,1.0,95.16030882148291,591.625,0.65625,8,8,16,350534,10000,full,24
38,1.0,89.96587894863252,589.875,0.44374999999999987,10,6,16,350562,10000,full,25
74,1.0,90.57746598216357,591.8125,0.51875,10,6,16,350531,10000,full,26
37,1.0,83.16321959706707,588.4375,0.5,11,5,16,350585,10000,full,27
37,1.0,94.2953306107996,590.625,0.6875,12,4,16,350550,10000,full,28
53,1.0,96.11481984454842,593.0625,0.60625,12,4,16,350511,10000,full,29
86,1.0,94.94519389495184,588.3125,0.71875,12,4,16,350587,10000,full,30
66,1.0,94.8566146546987,590.8125,0.60625,10,6,16,350547,10000,full,31
53,1.0,87.63772642960336,587.5625,0.44374999999999987,10,6,16,350599,10000,full,32
55,1.0,84.07156084996876,591.8125,0.70625,14,2,16,350531,10000,full,33
51,1.0,83.87916811551007,593.3125,0.58125,12,4,16,350507,10000,full,34
36,1.0,86.40780400953376,590.9375,0.5687499999999999,13,3,16,350545,10000,full,35
52,1.0,90.70520158044962,591.9375,0.6812499999999999,11,5,16,350529,10000,full,36
42,1.0,86.15227706654073,587.3125,0.54375,8,8,16,350603,10000,full,37
52,1.0,93.73224831934844,594.125,0.5687499999999999,9,7,16,350494,10000,full,38
49,1.0,86.68107852928458,584.375,0.44374999999999987,9,7,16,350650,10000,full,39
36,1.0,98.05602671432287,593.375,0.5687499999999999,12,4,16,350506,10000,full,40
74,1.0,86.94680036522333,586.5625,0.6312499999999999,14,2,16,350615,10000,full,41
46,1.0,83.75923456550925,592.625,0.54375,12,4,16,350518,10000,full,42
31,1.0,96.54856291007133,598.5,0.5687499999999999,12,4,16,350424,10000,full,43
55,1.0,89.0441428449957,594.875,0.625,13,3,16,350482,10000,full,44
60,1.0,84.60016252939471,589.75,0.65625,11,5,16,350564,10000,full,45
54,1.0,94.31974789910117,595.3125,0.60625,8,8,16,350475,10000,full,46
78,1.0,89.79227329648137,593.1875,0.5,8,8,16,350509,10000,full,47
40,1.0,92.44018336199902,591.25,0.44374999999999987,11,5,16,350540,10000,full,48
37,1.0,84.5568410892933,596.375,0.5874999999999999,12,4,16,350458,10000,full,49
